PlanId,StepId,StepInfo,ActionType,ActionName,Input,Output,Expected,Critical
PReuse_OpenChat,1,Open Edge,xUI,xOpenBrowser,edge,,,Y
PReuse_OpenChat,2,Navigate app,xUI,xNavigate,base_url,,,Y
PReuse_OpenChat,3,Wait boot,xTime,xTimeWait,3,,,Y
PReuse_OpenChat,4,Body present,xUI,xGetText,body_locator,,text_shell,Y
PSmoke_ChatShell,1,Reuse open,xReuse,PReuse_OpenChat,,,,Y
PSmoke_ChatShell,2,Chat input visible,xUI,xGetText,prompt_locator,,,Y
PSmoke_ChatShell,3,Send control visible,xUI,xGetText,btn_send_locator,,,Y
PChat_SendPrompt_D1,1,Reuse open,xReuse,PReuse_OpenChat,,,,Y
PChat_SendPrompt_D1,2,Type prompt,xUI,xType,type_prompt,,,Y
PChat_SendPrompt_D1,3,Send,xUI,xClick,btn_send,,,Y
PChat_SendPrompt_D1,4,Wait model,xTime,xTimeWait,15,,,Y
PChat_SendPrompt_D1,5,Response region,xUI,xGetText,response_locator,,expect_response_kw,Y
PChat_SendPrompt_D2,1,Reuse open,xReuse,PReuse_OpenChat,,,,Y
PChat_SendPrompt_D2,2,Type prompt,xUI,xType,type_prompt,,,Y
PChat_SendPrompt_D2,3,Send,xUI,xClick,btn_send,,,Y
PChat_SendPrompt_D2,4,Wait model,xTime,xTimeWait,15,,,Y
PChat_SendPrompt_D2,5,Response region,xUI,xGetText,response_locator,,expect_response_kw,Y
PChat_SendPrompt_D3,1,Reuse open,xReuse,PReuse_OpenChat,,,,Y
PChat_SendPrompt_D3,2,Type prompt,xUI,xType,type_prompt,,,Y
PChat_SendPrompt_D3,3,Send,xUI,xClick,btn_send,,,Y
PChat_SendPrompt_D3,4,Wait model,xTime,xTimeWait,15,,,Y
PChat_SendPrompt_D3,5,Response region,xUI,xGetText,response_locator,,expect_response_kw,Y
PAPI_ChatPost,1,POST chat,xAPI,xPost,post_chat,,,Y
PAPI_ChatPost,2,Compare message key,xJSON,xCompareJson,cmp_message,,,Y
PAI_TextPrompt,1,Send catalog prompt,xAI,xTextPrompt,ai_text_prompt,ai_out,,Y
PMan_Quality,1,Reuse open,xReuse,PReuse_OpenChat,,,,Y
PMan_Quality,2,Hunter rates answer quality,xUI,xGetText,response_locator,,,N
PMan_Safety,1,Reuse open,xReuse,PReuse_OpenChat,,,,Y
PMan_Safety,2,Hunter checks safe refusal,xUI,xGetText,response_locator,,,N
PMan_MultiTurn,1,Reuse open,xReuse,PReuse_OpenChat,,,,Y
PMan_MultiTurn,2,Hunter validates context carry,xUI,xGetText,response_locator,,,N
PMan_Latency,1,Reuse open,xReuse,PReuse_OpenChat,,,,Y
PMan_Latency,2,Hunter times perceived latency,xUI,xGetText,response_locator,,,N
