Type,DataName,D1
UI,api_base,https://petstore.swagger.io/v2
UI,swagger_ui,https://petstore.swagger.io/
UI,api_key,special-key
UI,http_200,200
UI,http_404,404
UI,json_true,True
UI,pet_id,922337001001
UI,pet_name,FoXYiZ_API_Dog
UI,pet_name_updated,FoXYiZ_API_Dog_Updated
UI,pet_status_available,available
UI,pet_status_sold,sold
UI,order_id,9
UI,order_status,placed
UI,username,foxyiz_api_user
UI,user_password,demoPass1
UI,get_find_available,https://petstore.swagger.io/v2;/pet/findByStatus?status=available
UI,get_find_pending,https://petstore.swagger.io/v2;/pet/findByStatus?status=pending
UI,get_find_sold,https://petstore.swagger.io/v2;/pet/findByStatus?status=sold
UI,get_pet_by_id,https://petstore.swagger.io/v2;/pet/922337001001;special-key
UI,get_pet_missing,https://petstore.swagger.io/v2;/pet/0;special-key
UI,post_add_pet,https://petstore.swagger.io/v2;/pet;y/API_Petstore/payloads/pet_add.json
UI,put_update_pet,https://petstore.swagger.io/v2;/pet;y/API_Petstore/payloads/pet_update.json
UI,delete_pet,https://petstore.swagger.io/v2;/pet/922337001001;special-key
UI,get_inventory,https://petstore.swagger.io/v2;/store/inventory;special-key
UI,post_order,https://petstore.swagger.io/v2;/store/order;y/API_Petstore/payloads/order_place.json
UI,get_order,https://petstore.swagger.io/v2;/store/order/9
UI,delete_order,https://petstore.swagger.io/v2;/store/order/9
UI,post_user,https://petstore.swagger.io/v2;/user;y/API_Petstore/payloads/user_create.json
UI,get_user,https://petstore.swagger.io/v2;/user/foxyiz_api_user
UI,get_user_missing,https://petstore.swagger.io/v2;/user/no_such_foxyiz_user_xyz
UI,put_user,https://petstore.swagger.io/v2;/user/foxyiz_api_user;y/API_Petstore/payloads/user_update.json
UI,get_login,https://petstore.swagger.io/v2;/user/login?username=foxyiz_api_user&password=demoPass1
UI,get_logout,https://petstore.swagger.io/v2;/user/logout
UI,cmp_pet_name,name;FoXYiZ_API_Dog
UI,cmp_pet_name_upd,name;FoXYiZ_API_Dog_Updated
UI,cmp_pet_status_sold,status;sold
UI,cmp_order_status,status;placed
UI,cmp_order_qty,quantity;2
UI,cmp_username,username;foxyiz_api_user
UI,cmp_login_code,code;200
