PlanId,StepId,StepInfo,ActionType,ActionName,Input,Output,Expected,Critical
PReuse_OpenApp,1,Open browser,xUI,xOpenBrowser,edge,,,Y
PReuse_OpenApp,2,Navigate /app,xUI,xNavigate,app_url,,http://127.0.0.1:8766/app,Y
PReuse_OpenApp,3,Body present,xUI,xGetText,body_locator,,,Y
PSmoke_Title,1,Open app,xReuse,PReuse_OpenApp,,,,Y
PSmoke_Title,2,Arena boots — title BRAHL Local,xUI,xGetText,app_title_locator,,BRAHL Local,Y
PSmoke_PhaseNav,1,Open app,xReuse,PReuse_OpenApp,,,,Y
PSmoke_PhaseNav,2,Phase nav present,xUI,xGetText,phase_nav_locator,,Build,Y
PSmoke_Workspace,1,Open app,xReuse,PReuse_OpenApp,,,,Y
PSmoke_Workspace,2,Workspace chip present,xUI,xGetText,topbar_workspace,,Workspace,Y
PSmoke_DesktopMode,1,Open app,xReuse,PReuse_OpenApp,,,,Y
PSmoke_DesktopMode,2,desktop-mode brand present,xUI,xGetText,app_title_locator,,BRAHL Local,Y
PSmoke_Health,1,Open app,xReuse,PReuse_OpenApp,,,,Y
PSmoke_Health,2,Footer health pill,xUI,xGetText,health_pill,,,Y
PSmoke_FoXYiZLink,1,Open app,xReuse,PReuse_OpenApp,,,,Y
PSmoke_FoXYiZLink,2,Tagline FoXYiZ is clickable,xUI,xGetText,tagline_foxyiz,,FoXYiZ,Y
PHint_Build,1,Open app,xReuse,PReuse_OpenApp,,,,Y
PHint_Build,2,Build hint Tests (/y),xUI,xGetText,hint_build,,Tests,Y
PHint_Run,1,Open app,xReuse,PReuse_OpenApp,,,,Y
PHint_Run,2,Run hint Tests (/y),xUI,xGetText,hint_run,,Tests,Y
PHint_Analyze,1,Open app,xReuse,PReuse_OpenApp,,,,Y
PHint_Analyze,2,Analyze hint Results (/z),xUI,xGetText,hint_analyze,,Results,Y
PHint_Heal,1,Open app,xReuse,PReuse_OpenApp,,,,Y
PHint_Heal,2,Heal hint Heal Tests (/y),xUI,xGetText,hint_heal,,Heal Tests,Y
PHint_Loop,1,Open app,xReuse,PReuse_OpenApp,,,,Y
PHint_Loop,2,Loop hint Verify /y -> /z,xUI,xGetText,hint_loop,,Verify,Y
PHint_Brahl,1,Open app,xReuse,PReuse_OpenApp,,,,Y
PHint_Brahl,2,BRAHL hint Go / No-Go,xUI,xGetText,hint_brahl,,Go / No-Go,Y
PHint_PathY,1,Open app,xReuse,PReuse_OpenApp,,,,Y
PHint_PathY,2,Build /y path button present,xUI,xGetText,phase_path_y,,/y,Y
PHint_PathZ,1,Open app,xReuse,PReuse_OpenApp,,,,Y
PHint_PathZ,2,Analyze /z path button present,xUI,xGetText,phase_path_z,,/z,Y
PNav_Run,1,Open app,xReuse,PReuse_OpenApp,,,,Y
PNav_Run,2,Click Run,xUI,xClick,btn_phase_run,,,Y
PNav_Run,3,Run panel visible,xUI,xGetText,panel_run,,,Y
PNav_Analyze,1,Open app,xReuse,PReuse_OpenApp,,,,Y
PNav_Analyze,2,Click Analyze,xUI,xClick,btn_phase_analyze,,,Y
PNav_Analyze,3,Analyze panel visible,xUI,xGetText,panel_analyze,,,Y
PNav_Heal,1,Open app,xReuse,PReuse_OpenApp,,,,Y
PNav_Heal,2,Click Heal,xUI,xClick,btn_phase_heal,,,Y
PNav_Heal,3,Heal panel visible,xUI,xGetText,panel_heal,,,Y
PNav_Loop,1,Open app,xReuse,PReuse_OpenApp,,,,Y
PNav_Loop,2,Click Loop,xUI,xClick,btn_phase_loop,,,Y
PNav_Loop,3,Loop panel visible,xUI,xGetText,panel_loop,,,Y
PNav_Brahl,1,Open app,xReuse,PReuse_OpenApp,,,,Y
PNav_Brahl,2,Click BRAHL,xUI,xClick,btn_phase_brahl,,,Y
PNav_Brahl,3,BRAHL panel visible,xUI,xGetText,panel_brahl,,,Y
PNav_Build,1,Open app,xReuse,PReuse_OpenApp,,,,Y
PNav_Build,2,Click Build,xUI,xClick,btn_phase_build,,,Y
PNav_Build,3,Build panel visible,xUI,xGetText,panel_build,,,Y
PNav_DeepRun,1,Open browser,xUI,xOpenBrowser,edge,,,Y
PNav_DeepRun,2,Navigate hash,xUI,xNavigate,app_hash_run,,,Y
PNav_DeepRun,3,Run panel,xUI,xGetText,panel_run,,,Y
PNav_DeepBrahl,1,Open browser,xUI,xOpenBrowser,edge,,,Y
PNav_DeepBrahl,2,Navigate hash,xUI,xNavigate,app_hash_brahl,,,Y
PNav_DeepBrahl,3,BRAHL panel,xUI,xGetText,panel_brahl,,,Y
PBuild_RebuildBtn,1,Open app,xReuse,PReuse_OpenApp,,,,Y
PBuild_RebuildBtn,2,Rebuild button,xUI,xGetText,btn_rebuild,,Rebuild,Y
PBuild_NoVerifyLine,1,Open app,xReuse,PReuse_OpenApp,,,,Y
PBuild_NoVerifyLine,2,Title present,xUI,xGetText,build_title,,Build,Y
PBuild_NoVerifyLine,3,Verify node exists (hidden),xUI,xGetText,build_verify,,,N
PBuild_OpenRebuild,1,Open app,xReuse,PReuse_OpenApp,,,,Y
PBuild_OpenRebuild,2,Click Rebuild,xUI,xClick,btn_rebuild,,,Y
PBuild_OpenRebuild,3,Rebuild plan visible,xUI,xGetText,build_brahl_plan,,Rebuild,Y
PBuild_OpenRebuild,4,Done label on button,xUI,xGetText,btn_rebuild,,Done,Y
