PlanId,PlanName,DesignId,Run,Tags,Output,CreatedBy,CreatedAt
PReuse_Open,Open Edge and load KonfigAI home,D1,N,Reuse,preuse_open,QA_Hunter+KonfigAI,2026-07-28T17:00:00+00:00
PSmoke_Home,Smoke — home H1 No-Code / AI-Driven,D1,Y,KonfigAI;Smoke;UI;Shell,psmoke_home,QA_Hunter+KonfigAI,2026-07-28T17:00:00+00:00
PSmoke_DemoCTA,Smoke — Request Demo page from CTA URL,D1,Y,KonfigAI;Smoke;UI;CTA,psmoke_demo,QA_Hunter+KonfigAI,2026-07-28T17:00:00+00:00
PSmoke_NavSolutions,Smoke — Solutions page loads,D1,Y,KonfigAI;Smoke;UI;Nav,psmoke_sol,QA_Hunter+KonfigAI,2026-07-28T17:00:00+00:00
PLink_Home,Link — / loads + H1,D1,Y,KonfigAI;Link;UI;Shell,plink_home,QA_Hunter+KonfigAI,2026-07-28T17:00:00+00:00
PTitle_Home,Title — / document.title correct,D1,Y,KonfigAI;Title;UI;A1,ptitle_home,QA_Hunter+KonfigAI,2026-07-28T17:00:00+00:00
PLink_FormBuilder,Link — /form-builder.html loads + H1,D1,Y,KonfigAI;Link;UI;Shell,plink_formbuilder,QA_Hunter+KonfigAI,2026-07-28T17:00:00+00:00
PTitle_FormBuilder,Title — /form-builder.html document.title correct,D1,Y,KonfigAI;Title;UI;A1,ptitle_formbuilder,QA_Hunter+KonfigAI,2026-07-28T17:00:00+00:00
PLink_Workflow,Link — /workflow-builder.html loads + H1,D1,Y,KonfigAI;Link;UI;Shell,plink_workflow,QA_Hunter+KonfigAI,2026-07-28T17:00:00+00:00
PTitle_Workflow,Title — /workflow-builder.html document.title correct,D1,Y,KonfigAI;Title;UI;A1,ptitle_workflow,QA_Hunter+KonfigAI,2026-07-28T17:00:00+00:00
PLink_ApiBuilder,Link — /api-builder.html loads + H1,D1,Y,KonfigAI;Link;UI;Shell,plink_apibuilder,QA_Hunter+KonfigAI,2026-07-28T17:00:00+00:00
PTitle_ApiBuilder,Title — /api-builder.html document.title correct,D1,Y,KonfigAI;Title;UI;A1,ptitle_apibuilder,QA_Hunter+KonfigAI,2026-07-28T17:00:00+00:00
PLink_Batch,Link — /batch-processing.html loads + H1,D1,Y,KonfigAI;Link;UI;Shell,plink_batch,QA_Hunter+KonfigAI,2026-07-28T17:00:00+00:00
