PlanId,StepId,StepInfo,ActionType,ActionName,Input,Output,Expected,Critical
PReuse_Open,1,Open Edge,xUI,xOpenBrowser,edge,,,Y
PReuse_Open,2,Home,xUI,xNavigate,base_url,,,Y
PReuse_Open,3,Wait boot,xTime,xTimeWait,3,,,Y
PReuse_Open,4,Body present,xUI,xGetText,body_locator,,text_home_kw,Y
PSmoke_Home,1,Reuse open,xReuse,PReuse_Open,,,,Y
PSmoke_Home,2,H1 contract,xUI,xGetText,h1_locator,,text_home_h1,Y
PSmoke_Home,3,Products nav present,xUI,xGetText,body_locator,,text_nav_products,Y
PSmoke_Home,4,Request Demo chrome,xUI,xGetText,body_locator,,text_request_demo,Y
PSmoke_DemoCTA,1,Reuse open,xReuse,PReuse_Open,,,,Y
PSmoke_DemoCTA,2,Open request-demo,xUI,xNavigate,url_requestdemo,,,Y
PSmoke_DemoCTA,3,Settle,xTime,xTimeWait,2,,,Y
PSmoke_DemoCTA,4,Demo H1,xUI,xGetText,h1_locator,,text_demo_h1,Y
PSmoke_DemoCTA,5,Email field,xUI,xGetText,demo_email_locator,,,Y
PSmoke_NavSolutions,1,Reuse open,xReuse,PReuse_Open,,,,Y
PSmoke_NavSolutions,2,Open solutions,xUI,xNavigate,url_solutions,,,Y
PSmoke_NavSolutions,3,Settle,xTime,xTimeWait,2,,,Y
PSmoke_NavSolutions,4,Solutions H1,xUI,xGetText,h1_locator,,text_solutions_h1,Y
PLink_Home,1,Reuse open,xReuse,PReuse_Open,,,,Y
PLink_Home,2,Navigate page,xUI,xNavigate,url_home,,,Y
PLink_Home,3,Settle,xTime,xTimeWait,2,,,Y
PLink_Home,4,H1 contract,xUI,xGetText,h1_locator,,text_home_h1,Y
PTitle_Home,1,Reuse open,xReuse,PReuse_Open,,,,Y
PTitle_Home,2,Navigate page,xUI,xNavigate,url_home,,,Y
PTitle_Home,3,Settle,xTime,xTimeWait,2,,,Y
PTitle_Home,4,Assert title,xUI,xGetTitle,,,title_home,Y
PLink_FormBuilder,1,Reuse open,xReuse,PReuse_Open,,,,Y
PLink_FormBuilder,2,Navigate page,xUI,xNavigate,url_formbuilder,,,Y
PLink_FormBuilder,3,Settle,xTime,xTimeWait,2,,,Y
PLink_FormBuilder,4,H1 contract,xUI,xGetText,h1_locator,,text_form_builder_h1,Y
PTitle_FormBuilder,1,Reuse open,xReuse,PReuse_Open,,,,Y
PTitle_FormBuilder,2,Navigate page,xUI,xNavigate,url_formbuilder,,,Y
PTitle_FormBuilder,3,Settle,xTime,xTimeWait,2,,,Y
PTitle_FormBuilder,4,Assert title,xUI,xGetTitle,,,title_formbuilder,Y
PLink_Workflow,1,Reuse open,xReuse,PReuse_Open,,,,Y
PLink_Workflow,2,Navigate page,xUI,xNavigate,url_workflow,,,Y
PLink_Workflow,3,Settle,xTime,xTimeWait,2,,,Y
PLink_Workflow,4,H1 contract,xUI,xGetText,h1_locator,,text_workflow_h1,Y
PTitle_Workflow,1,Reuse open,xReuse,PReuse_Open,,,,Y
PTitle_Workflow,2,Navigate page,xUI,xNavigate,url_workflow,,,Y
PTitle_Workflow,3,Settle,xTime,xTimeWait,2,,,Y
PTitle_Workflow,4,Assert title,xUI,xGetTitle,,,title_workflow,Y
PLink_ApiBuilder,1,Reuse open,xReuse,PReuse_Open,,,,Y
PLink_ApiBuilder,2,Navigate page,xUI,xNavigate,url_apibuilder,,,Y
PLink_ApiBuilder,3,Settle,xTime,xTimeWait,2,,,Y
PLink_ApiBuilder,4,H1 contract,xUI,xGetText,h1_locator,,text_api_h1,Y
PTitle_ApiBuilder,1,Reuse open,xReuse,PReuse_Open,,,,Y
PTitle_ApiBuilder,2,Navigate page,xUI,xNavigate,url_apibuilder,,,Y
PTitle_ApiBuilder,3,Settle,xTime,xTimeWait,2,,,Y
PTitle_ApiBuilder,4,Assert title,xUI,xGetTitle,,,title_apibuilder,Y
PLink_Batch,1,Reuse open,xReuse,PReuse_Open,,,,Y
PLink_Batch,2,Navigate page,xUI,xNavigate,url_batch,,,Y
PLink_Batch,3,Settle,xTime,xTimeWait,2,,,Y
PLink_Batch,4,H1 contract,xUI,xGetText,h1_locator,,text_batch_h1,Y
PTitle_Batch,1,Reuse open,xReuse,PReuse_Open,,,,Y
PTitle_Batch,2,Navigate page,xUI,xNavigate,url_batch,,,Y
PTitle_Batch,3,Settle,xTime,xTimeWait,2,,,Y
PTitle_Batch,4,Assert title,xUI,xGetTitle,,,title_batch,Y
PLink_DocCentral,1,Reuse open,xReuse,PReuse_Open,,,,Y
PLink_DocCentral,2,Navigate page,xUI,xNavigate,url_doccentral,,,Y
