PlanId,StepId,StepInfo,ActionType,ActionName,Input,Output,Expected,Critical
PMath_T1_Test_Addition_Functionali,1,Add value_a + value_b,xMath,xAdd,value_a;value_b,sum_out,expected_sum,Y
PMath_T2_Test_Subtraction_Function,1,Subtract second from first,xMath,xMinus,first_number;second_number,diff_out,expected_diff,Y
PMath_T3_Test_Multiplication_Funct,1,Multiply first * second,xMath,xMultiply,first_number;second_number,prod_out,expected_product,Y
PMath_T4_Test_Division_Functionali,1,Divide v1 / vTwo,xMath,xDiv,v1;vTwo,div_out,expected_quotient,Y
PMath_T5_Test_Square_Root_Function,1,Power base^exponent as square check,xMath,xPower,base_number;exponent,pow_out,expected_square,Y
PMath_T6_Test_Exponentiation_Funct,1,Raise base_number to exponent,xMath,xPower,base_number;exponent,exp_out,expected_square,Y
PMath_T9_Test_Invalid_Input_Handli,1,Compare equal sentinels (guard path),xMath,xCompare,vOne;vOne,cmp_out,True,Y
PMath_T11_Test_Performance_of_Calc,1,Add v1 + v2,xMath,xAdd,v1;v2,perf_out,vAdd,Y
PMath_Man_T7_Test_Graphing_Linear_Func,1,Manual placeholder,xMath,xCompare,vOne;vOne,manual_ok,True,N
PMath_Man_T8_Test_Graphing_Quadratic_F,1,Manual placeholder,xMath,xCompare,vOne;vOne,manual_ok,True,N
PMath_Man_T10_Test_Mobile_Layout,1,Manual placeholder,xMath,xCompare,vOne;vOne,manual_ok,True,N
PMath_Man_T12_Test_User_Interface_for_,1,Manual placeholder,xMath,xCompare,vOne;vOne,manual_ok,True,N
