PlanId,StepId,StepInfo,ActionType,ActionName,Input,Output,Expected,Critical
PReuse_Inet_Open,1,Open Edge,xUI,xOpenBrowser,edge,,,Y
PReuse_Inet_Open,2,Home,xUI,xNavigate,base_url,,,Y
PReuse_Inet_Open,3,Wait boot,xTime,xTimeWait,2,,,Y
PReuse_Inet_Open,4,Body present,xUI,xGetText,body_locator,,text_welcome,Y
PInet_Smoke_Home,1,Reuse open browser + home,xReuse,PReuse_Inet_Open,,,,Y
PInet_Smoke_Home,2,Title Welcome,xUI,xGetText,h1_locator,,text_welcome,Y
PInet_Smoke_Home,3,Login link visible,xUI,xGetText,link_login,,,Y
PInet_Smoke_LoginHappy,1,Reuse open browser + home,xReuse,PReuse_Inet_Open,,,,Y
PInet_Smoke_LoginHappy,2,Navigate url_login,xUI,xNavigate,url_login,,,Y
PInet_Smoke_LoginHappy,3,Settle,xTime,xTimeWait,2,,,Y
PInet_Smoke_LoginHappy,4,Username,xUI,xType,type_user_ok,,,Y
PInet_Smoke_LoginHappy,5,Password,xUI,xType,type_pass_ok,,,Y
PInet_Smoke_LoginHappy,6,Submit,xUI,xClick,btn_login,,,Y
PInet_Smoke_LoginHappy,7,Wait,xTime,xTimeWait,1,,,Y
PInet_Smoke_LoginHappy,8,Flash success,xUI,xGetText,flash_locator,,text_login_ok,Y
PInet_Auth_BadLogin,1,Reuse open browser + home,xReuse,PReuse_Inet_Open,,,,Y
PInet_Auth_BadLogin,2,Navigate url_login,xUI,xNavigate,url_login,,,Y
PInet_Auth_BadLogin,3,Settle,xTime,xTimeWait,2,,,Y
PInet_Auth_BadLogin,4,Bad user,xUI,xType,type_user_bad,,,Y
PInet_Auth_BadLogin,5,Bad pass,xUI,xType,type_pass_bad,,,Y
PInet_Auth_BadLogin,6,Submit,xUI,xClick,btn_login,,,Y
PInet_Auth_BadLogin,7,Wait,xTime,xTimeWait,1,,,Y
PInet_Auth_BadLogin,8,Flash fail,xUI,xGetText,flash_locator,,text_login_fail,Y
PInet_Auth_LoginLogout,1,Reuse open browser + home,xReuse,PReuse_Inet_Open,,,,Y
PInet_Auth_LoginLogout,2,Navigate url_login,xUI,xNavigate,url_login,,,Y
PInet_Auth_LoginLogout,3,Settle,xTime,xTimeWait,2,,,Y
PInet_Auth_LoginLogout,4,User,xUI,xType,type_user_ok,,,Y
PInet_Auth_LoginLogout,5,Pass,xUI,xType,type_pass_ok,,,Y
PInet_Auth_LoginLogout,6,Submit,xUI,xClick,btn_login,,,Y
PInet_Auth_LoginLogout,7,Wait,xTime,xTimeWait,1,,,Y
PInet_Auth_LoginLogout,8,Secure heading,xUI,xGetText,h2_locator,,text_secure,Y
PInet_Auth_LoginLogout,9,Logout,xUI,xClick,btn_logout,,,Y
PInet_Auth_LoginLogout,10,Wait,xTime,xTimeWait,1,,,Y
PInet_Auth_LoginLogout,11,Logged out flash,xUI,xGetText,flash_locator,,text_logout_ok,Y
PInet_Auth_BasicAuth,1,Reuse open browser + home,xReuse,PReuse_Inet_Open,,,,Y
PInet_Auth_BasicAuth,2,Navigate url_basic_auth,xUI,xNavigate,url_basic_auth,,,Y
PInet_Auth_BasicAuth,3,Settle,xTime,xTimeWait,2,,,Y
PInet_Auth_BasicAuth,4,Congrats text,xUI,xGetText,body_locator,,text_basic_auth,Y
PInet_UI_Checkboxes,1,Reuse open browser + home,xReuse,PReuse_Inet_Open,,,,Y
PInet_UI_Checkboxes,2,Navigate url_checkboxes,xUI,xNavigate,url_checkboxes,,,Y
PInet_UI_Checkboxes,3,Settle,xTime,xTimeWait,2,,,Y
PInet_UI_Checkboxes,4,CB1 initially unchecked,xUI,xIsChecked,cb1,,unchecked,Y
PInet_UI_Checkboxes,5,CB2 initially checked,xUI,xIsChecked,cb2,,checked,Y
PInet_UI_Checkboxes,6,Click CB1,xUI,xClick,cb1,,,Y
PInet_UI_Checkboxes,7,CB1 now checked,xUI,xIsChecked,cb1,,checked,Y
PInet_UI_Checkboxes,8,Click CB2,xUI,xClick,cb2,,,Y
PInet_UI_Checkboxes,9,CB2 now unchecked,xUI,xIsChecked,cb2,,unchecked,Y
PInet_UI_Dropdown,1,Reuse open browser + home,xReuse,PReuse_Inet_Open,,,,Y
PInet_UI_Dropdown,2,Navigate url_dropdown,xUI,xNavigate,url_dropdown,,,Y
PInet_UI_Dropdown,3,Settle,xTime,xTimeWait,2,,,Y
PInet_UI_Dropdown,4,Heading,xUI,xGetText,h3_locator,,text_dropdown,Y
PInet_UI_Dropdown,5,Select 1,xUI,xSelectDropdown,dd_option1,,,Y
PInet_UI_Dropdown,6,Select 2,xUI,xSelectDropdown,dd_option2,,,Y
PInet_UI_Inputs,1,Reuse open browser + home,xReuse,PReuse_Inet_Open,,,,Y
PInet_UI_Inputs,2,Navigate url_inputs,xUI,xNavigate,url_inputs,,,Y
PInet_UI_Inputs,3,Settle,xTime,xTimeWait,2,,,Y
PInet_UI_Inputs,4,Type 42,xUI,xType,type_number,,,Y
PInet_UI_Inputs,5,Input still present,xUI,xGetText,h3_locator,,,Y
PInet_UI_AddRemove,1,Reuse open browser + home,xReuse,PReuse_Inet_Open,,,,Y
PInet_UI_AddRemove,2,Navigate url_add_remove,xUI,xNavigate,url_add_remove,,,Y
PInet_UI_AddRemove,3,Settle,xTime,xTimeWait,2,,,Y
PInet_UI_AddRemove,4,Heading,xUI,xGetText,h3_locator,,text_add_remove,Y
PInet_UI_AddRemove,5,Add,xUI,xClick,btn_add_element,,,Y
PInet_UI_AddRemove,6,Wait,xTime,xTimeWait,1,,,Y
PInet_UI_AddRemove,7,Delete appears,xUI,xGetText,btn_delete,,text_delete,Y
PInet_UI_AddRemove,8,Delete click,xUI,xClick,btn_delete,,,Y
PInet_UI_DragDrop,1,Reuse open browser + home,xReuse,PReuse_Inet_Open,,,,Y
PInet_UI_DragDrop,2,Navigate url_drag,xUI,xNavigate,url_drag,,,Y
PInet_UI_DragDrop,3,Settle,xTime,xTimeWait,2,,,Y
PInet_UI_DragDrop,4,Perform DnD,xUI,xDragAndDrop,dnd_ab,,,Y
PInet_UI_DragDrop,5,Column A still present,xUI,xGetText,col_a,,,Y
PInet_UI_Hovers,1,Reuse open browser + home,xReuse,PReuse_Inet_Open,,,,Y
PInet_UI_Hovers,2,Navigate url_hovers,xUI,xNavigate,url_hovers,,,Y
PInet_UI_Hovers,3,Settle,xTime,xTimeWait,2,,,Y
PInet_UI_Hovers,4,Hover user1,xUI,xHover,hover_user1,,,Y
PInet_UI_Hovers,5,Caption user1,xUI,xGetText,hover_caption1,,text_user1,Y
PInet_UI_ContextMenu,1,Reuse open browser + home,xReuse,PReuse_Inet_Open,,,,Y
PInet_UI_ContextMenu,2,Navigate url_context,xUI,xNavigate,url_context,,,Y
PInet_UI_ContextMenu,3,Settle,xTime,xTimeWait,2,,,Y
PInet_UI_ContextMenu,4,Context click,xUI,xContextClick,hotspot,,,Y
PInet_UI_ContextMenu,5,Accept alert,xUI,xHandleAlert,alert_accept,,,Y
PInet_UI_JsAlerts,1,Reuse open browser + home,xReuse,PReuse_Inet_Open,,,,Y
PInet_UI_JsAlerts,2,Navigate url_alerts,xUI,xNavigate,url_alerts,,,Y
PInet_UI_JsAlerts,3,Settle,xTime,xTimeWait,2,,,Y
PInet_UI_JsAlerts,4,Click Alert,xUI,xClick,btn_js_alert,,,Y
PInet_UI_JsAlerts,5,Accept,xUI,xHandleAlert,alert_accept,,,Y
PInet_UI_JsAlerts,6,Result alert,xUI,xGetText,result_locator,,text_alert_ok,Y
PInet_UI_JsAlerts,7,Click Confirm,xUI,xClick,btn_js_confirm,,,Y
PInet_UI_JsAlerts,8,Accept confirm,xUI,xHandleAlert,alert_accept,,,Y
PInet_UI_JsAlerts,9,Result Ok,xUI,xGetText,result_locator,,text_confirm_ok,Y
PInet_UI_JsAlerts,10,Click Confirm again,xUI,xClick,btn_js_confirm,,,Y
PInet_UI_JsAlerts,11,Dismiss,xUI,xHandleAlert,alert_dismiss,,,Y
PInet_UI_JsAlerts,12,Result Cancel,xUI,xGetText,result_locator,,text_confirm_cancel,Y
PInet_UI_JsAlerts,13,Click Prompt,xUI,xClick,btn_js_prompt,,,Y
PInet_UI_JsAlerts,14,Type BRAHL,xUI,xHandleAlert,alert_type_brahl,,,Y
PInet_UI_JsAlerts,15,Result prompt,xUI,xGetText,result_locator,,text_prompt_brahl,Y
PInet_UI_KeyPresses,1,Reuse open browser + home,xReuse,PReuse_Inet_Open,,,,Y
PInet_UI_KeyPresses,2,Navigate url_keys,xUI,xNavigate,url_keys,,,Y
PInet_UI_KeyPresses,3,Settle,xTime,xTimeWait,2,,,Y
PInet_UI_KeyPresses,4,ENTER,xUI,xSendKeys,keys_enter,,,Y
PInet_UI_KeyPresses,5,Result ENTER,xUI,xGetText,key_result,,text_enter,Y
PInet_UI_Slider,1,Reuse open browser + home,xReuse,PReuse_Inet_Open,,,,Y
PInet_UI_Slider,2,Navigate url_slider,xUI,xNavigate,url_slider,,,Y
PInet_UI_Slider,3,Settle,xTime,xTimeWait,2,,,Y
PInet_UI_Slider,4,Focus + ARROW_RIGHT,xUI,xSendKeys,keys_slider_right,,,Y
PInet_UI_Slider,5,Value element present,xUI,xGetText,slider_value,,,Y
PInet_UI_Upload,1,Reuse open browser + home,xReuse,PReuse_Inet_Open,,,,Y
PInet_UI_Upload,2,Navigate url_upload,xUI,xNavigate,url_upload,,,Y
PInet_UI_Upload,3,Settle,xTime,xTimeWait,2,,,Y
PInet_UI_Upload,4,Choose file,xUI,xUploadFile,upload_file,,,Y
PInet_UI_Upload,5,Submit,xUI,xClick,btn_upload,,,Y
PInet_UI_Upload,6,Wait,xTime,xTimeWait,2,,,Y
PInet_UI_Upload,7,Uploaded banner,xUI,xGetText,h3_locator,,text_uploaded,Y
PInet_UI_DynLoading1,1,Reuse open browser + home,xReuse,PReuse_Inet_Open,,,,Y
PInet_UI_DynLoading1,2,Navigate url_dyn_load1,xUI,xNavigate,url_dyn_load1,,,Y
PInet_UI_DynLoading1,3,Settle,xTime,xTimeWait,2,,,Y
PInet_UI_DynLoading1,4,Start,xUI,xClick,btn_start,,,Y
PInet_UI_DynLoading1,5,Wait render,xTime,xTimeWait,8,,,Y
PInet_UI_DynLoading1,6,Hello World,xUI,xGetText,finish_locator,,text_hello,Y
PInet_UI_DynLoading2,1,Reuse open browser + home,xReuse,PReuse_Inet_Open,,,,Y
PInet_UI_DynLoading2,2,Navigate url_dyn_load2,xUI,xNavigate,url_dyn_load2,,,Y
PInet_UI_DynLoading2,3,Settle,xTime,xTimeWait,2,,,Y
