PlanId,PlanName,DesignId,Run,Tags,Output,CreatedBy,CreatedAt
PReuse_Varkasa_OpenSite,Open browser and navigate to varkasa,D1,N,Reuse,site_loaded,,2026-07-28T18:09:09+00:00
PVarkasa_T1_Test_case_1,Test case 1,D1,Y,varkasa;Smoke;BRAHL;T1,case_1_ok,,2026-07-28T18:09:09+00:00
PVarkasa_T2_Test_case_2,Test case 2,D1,Y,varkasa;Smoke;BRAHL;T2,case_2_ok,,2026-07-28T18:09:09+00:00
PVarkasa_T4_Test_case_4,Test case 4,D1,Y,varkasa;Smoke;BRAHL;T4,case_3_ok,,2026-07-28T18:09:09+00:00
PVarkasa_T5_Test_case_5,Test case 5,D1,Y,varkasa;Smoke;BRAHL;T5,case_4_ok,,2026-07-28T18:09:09+00:00
PVarkasa_T7_Test_case_7,Test case 7,D1,Y,varkasa;Smoke;BRAHL;T7,case_5_ok,,2026-07-28T18:09:09+00:00
PVarkasa_T8_Test_case_8,Test case 8,D1,Y,varkasa;Smoke;BRAHL;T8,case_6_ok,,2026-07-28T18:09:09+00:00
PVarkasa_T10_Test_case_10,Test case 10,D1,Y,varkasa;Smoke;BRAHL;T10,case_7_ok,,2026-07-28T18:09:09+00:00
PVarkasa_T11_Test_case_11,Test case 11,D1,Y,varkasa;Smoke;BRAHL;T11,case_8_ok,,2026-07-28T18:09:09+00:00
PVarkasa_Man_T3_Test_case_3,Test case 3,D1,N,varkasa;Manual;T3,manual_1_ok,,2026-07-28T18:09:09+00:00
PVarkasa_Man_T6_Test_case_6,Test case 6,D1,N,varkasa;Manual;T6,manual_2_ok,,2026-07-28T18:09:09+00:00
PVarkasa_Man_T9_Test_case_9,Test case 9,D1,N,varkasa;Manual;T9,manual_3_ok,,2026-07-28T18:09:09+00:00
PVarkasa_Man_T12_Test_case_12,Test case 12,D1,N,varkasa;Manual;T12,manual_4_ok,,2026-07-28T18:09:09+00:00
PVarkasa_TC1_Verify_login_button_func,Verify login button functionality on home page,D1,Y,varkasa;Smoke;BRAHL;TC1,case_1_ok,,2026-07-28T18:36:21+00:00
PVarkasa_TC2_Test_search_bar_input_va,Test search bar input validation on products page,D1,Y,varkasa;Smoke;BRAHL;TC2,case_2_ok,,2026-07-28T18:36:21+00:00
PVarkasa_TC3_Verify_product_details_p,Verify product details page content and navigation,D1,Y,varkasa;Smoke;BRAHL;TC3,case_3_ok,,2026-07-28T18:36:21+00:00
PVarkasa_TC4_Test_cart_management_fun,Test cart management functionality on checkout page,D1,Y,varkasa;Smoke;BRAHL;TC4,case_4_ok,,2026-07-28T18:36:21+00:00
PVarkasa_TC5_Verify_payment_gateway_i,Verify payment gateway integration with credit card,D1,Y,varkasa;Smoke;BRAHL;TC5,case_5_ok,,2026-07-28T18:36:21+00:00
PVarkasa_TC7_Verify_user_profile_mana,Verify user profile management functionality on account page,D1,Y,varkasa;Smoke;BRAHL;TC7,case_6_ok,,2026-07-28T18:36:21+00:00
PVarkasa_TC8_Test_order_history_page_,Test order history page content and filtering,D1,Y,varkasa;Smoke;BRAHL;TC8,case_7_ok,,2026-07-28T18:36:21+00:00
PVarkasa_TC9_Verify_shipping_options_,Verify shipping options selection on checkout page,D1,Y,varkasa;Smoke;BRAHL;TC9,case_8_ok,,2026-07-28T18:36:21+00:00
PVarkasa_TC10_Test_return_policy_page,Test return policy page content and navigation,D1,Y,varkasa;Smoke;BRAHL;TC10,case_9_ok,,2026-07-28T18:36:21+00:00
PVarkasa_TC11_Verify_FAQs_page_conten,Verify FAQs page content and filtering,D1,Y,varkasa;Smoke;BRAHL;TC11,case_10_ok,,2026-07-28T18:36:21+00:00
PVarkasa_TC13_Verify_error_handling_o,Verify error handling on 404 page,D1,Y,varkasa;Smoke;BRAHL;TC13,case_11_ok,,2026-07-28T18:36:21+00:00
PVarkasa_TC19_Verify_product_category,Verify product category filtering on products page,D1,Y,varkasa;Smoke;BRAHL;TC19,case_12_ok,,2026-07-28T18:36:21+00:00
PVarkasa_TC20_Test_product_image_uplo,Test product image upload functionality,D1,Y,varkasa;Smoke;BRAHL;TC20,case_13_ok,,2026-07-28T18:36:21+00:00
PVarkasa_TC21_Verify_product_descript,Verify product description input validation,D1,Y,varkasa;Smoke;BRAHL;TC21,case_14_ok,,2026-07-28T18:36:21+00:00
